name,country,date,review_score,review_header,review_body
Julian Ariel,CO,2 hours ago,1,I want to use this service for gpus…,"I want to use this service for gpus with llms, the ads give the 250 dollars for use free but it's a scam y recharge more of $50 dollars for get this promo but don't bring me the oportunity to use the gpus."
Anamul Haque,BD,3 days ago,1,I have been using Vultr for some time…,"I have been using Vultr for some time and generally like their services. Recently, I ran into an issue because my bank card was blocked, and I requested a refund to my USDT wallet instead. I have contacted their billing team, and they have been responsive and understanding, which I really appreciate. However, I still haven’t received the refund. I hope this gets resolved soon. Overall, Vultr has good support, but I am waiting for the completion of my refund before I can give a full 5-star rating."
Tahreem,PK,"Updated Sep 7, 2025",1,Poor customer support,"Poor customer support, didn't get a chance to use their services, because I was new and the customer support person refused to guide me saying that it's not our job to guide you."
Hendra Drayan,ID,"Aug 22, 2025",1,Misleading Promo and Poor Service,"Please note that the payment was indeed canceled and not authorized because I filed a report with PayPal, stating that the claims on Vultr's website did not match the reality."
Yonathan Stein,AE,"Aug 20, 2025",5,My experience has been good till now,"My experience has been good till now. Good prices and cloud VPS is working fine for what I need. Been using for years and seems stable. Actually got surprised with so many bad reviews, maybe there are better alternatives I still haven't tried."
Lucas Nguyen,VN,"Aug 14, 2025",4,A loyal user since 2016: Great performance but a frustrating registration process,"I have been a loyal Vultr customer since 2016, consistently relying on their services to host a wide range of websites. Their platform stands out for its excellent performance-to-price ratio and flexible hourly billing, which makes managing costs for various projects incredibly efficient. The user interface is clean and intuitive, allowing for the rapid deployment of new servers in just a few minutes. Over the years, whenever I've needed help, their support team has proven to be responsive and effective, providing clear solutions to my questions. For core performance, value, and ease of management, Vultr remains a top-tier choice. Despite these strengths, the service is significantly hampered by an overly strict and frustrating account verification process. I have repeatedly encountered issues when setting up accounts for my clients, as my attempts are often flagged for ""abuse,"" likely due to registrations from a shared IP address. This creates an unnecessary obstacle for legitimate, paying users who are ready to use the service. While fraud prevention is important, Vultr's current system is a major deterrent, and they should reconsider this aggressive approach to make their platform more accessible to new, genuine customers."
James Clear,NZ,"Aug 13, 2025",1,"SLA is a Joke – Lost Revenue, Got $20 Credit","We had a major outage on one of Vultr’s load balancer nodes that lasted over 13 hours, causing serious business damage – lost revenue, bad reviews from customers, and hours of wasted engineering time. The fault was entirely on Vultr’s side, starting right after their maintenance window. From the start, I told their support team that the problem seemed to be with their load balancer nodes. Instead of investigating properly, I got a canned response. If they had taken my report seriously and acted quickly, the downtime could have been reduced from 13 hours to 4–5 hours. Their own system displayed the message: “Some Load Balancer Nodes may be down. Please create a support ticket to fix this issue.” I provided detailed evidence showing our instances were healthy and the fault was within Vultr’s infrastructure. Per their SLA, outages over 7 hours qualify for the highest credit tier — “672 hours (1 month)” — but the fine print means this only applies to the cost of the single affected service item. In our case, that was just the load balancer node, worth about $20. So despite a massive service failure and the real business costs it caused, they hid behind SLA wording and offered the bare minimum. If you’re running anything critical, don’t be fooled by the “100% uptime guarantee.” It’s marketing spin, and when something goes wrong, you’ll get a canned response, slow action, and pocket change for compensation."
Mounti man,IQ,"Aug 13, 2025",1,Disaster company,"Not surprised that this company has one of the lowest rating on trust pilot, its a disaster and waste of money. TRUST ME, don't work with them, don't host anything with them. in 2017 i used their VPS once and migrated, in 2025 i tried them again, Oh, not changed at all."
Andreas Chrysopoulos,GR,"Aug 13, 2025",2,You shouldn't have to open a ticket to…,You shouldn't have to open a ticket to delete your account. I didn't even have an active subscription and they wouldn't let me remove my credit card.
Kim Yoonkyung,US,"Aug 13, 2025",1,Account Terminated Without Clear Explanation — Lost Money,"My experience with Vultr has been extremely negative. The company requested a photo of a bank card but could not answer a direct question about which specific card they wanted, even though there are no charges from them in my bank account. While I was trying to clarify this, my server was offline, and I lost around $40 on advertising. Instead of providing a clear explanation, Vultr sent me a formal notice claiming a Terms of Service violation and immediately terminated my account. I never received any specific details about what rule was allegedly broken. The result — lost access to my project, wasted money, and zero real support. My advice: think twice before trusting them with your business. Rating: ★☆☆☆☆ (1/5)"
